code,company_name,sector,first_year,last_year,basis
IMI,IMI PLC,Industrials,2010,2024,"GICS-style classification, reconstructed 2026-08-26"
IMT,Imperial Tobacco Group,Consumer Staples,1983,2015,"GICS-style classification, reconstructed 2026-08-26"
INCH,Inchcape plc,Consumer Discretionary,1991,1994,"GICS-style classification, reconstructed 2026-08-26"
INF,INFORMA PLC,Communication Services,2016,2024,"GICS-style classification, reconstructed 2026-08-26"
INTU,Intu Properties,Real Estate,2014,2016,"GICS-style classification, reconstructed 2026-08-26"
INVP,Investec,Financials,2010,2010,"GICS-style classification, reconstructed 2026-08-26"
IOG,Innogy Hldgs,Utilities,2001,2001,"GICS-style classification, reconstructed 2026-08-26"
IPR,International Power,Utilities,2000,2011,"GICS-style classification, reconstructed 2026-08-26"
ISAT,Inmarsat,Communication Services,2008,2015,"GICS-style classification, reconstructed 2026-08-26"
ISYS,Invensys,Industrials,1999,2010,"GICS-style classification, reconstructed 2026-08-26"
ITRK,INTERTEK GROUP PLC,Industrials,2009,2024,"GICS-style classification, reconstructed 2026-08-26"
ITV,ITV,Communication Services,2004,2021,"GICS-style classification, reconstructed 2026-08-26"
JAG,Jaguar,Consumer Discretionary,1985,1987,"GICS-style classification, reconstructed 2026-08-26"
JD.,JD SPORTS FASHION PLC,Consumer Discretionary,2019,2024,"GICS-style classification, reconstructed 2026-08-26"
JE.,Just Eat,Consumer Discretionary,2017,2019,"GICS-style classification, reconstructed 2026-08-26"
JET,Just Eat Takeaway.com,Consumer Discretionary,2020,2020,"GICS-style classification, reconstructed 2026-08-26"
JMAT,Johnson Matthey,Materials,1983,2020,"GICS-style classification, reconstructed 2026-08-26"
JRH,J. ROTHSCHILD HOLDINGS PLC,Financials,1985,1985,"GICS-style classification, reconstructed 2026-08-26"
KAZ,Kazakhmys,Materials,2005,2012,"GICS-style classification, reconstructed 2026-08-26"
KEL,Kelda Group,Utilities,2005,2007,"GICS-style classification, reconstructed 2026-08-26"
KGF,KINGFISHER PLC,Consumer Discretionary,1989,2024,"GICS-style classification, reconstructed 2026-08-26"
KWIK.L,Kwik Save Group,Consumer Staples,1992,1992,"GICS-style classification, reconstructed 2026-08-26"
LAD,Hilton Group,Consumer Discretionary,1983,2005,"GICS-style classification, reconstructed 2026-08-26"
LAND,LAND SECURITIES GROUP PLC,Real Estate,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
LGEN,LEGAL & GENERAL GROUP PLC,Financials,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
LII,Liberty International,Real Estate,2002,2009,"GICS-style classification, reconstructed 2026-08-26"
LLOY,LLOYDS BANKING GROUP PLC,Financials,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
LMI,Lonmin,Materials,2006,2010,"GICS-style classification, reconstructed 2026-08-26"
LMP,LONDONMETRIC PROPERTY PLC,Real Estate,2024,2024,"GICS-style classification, reconstructed 2026-08-26"
LOG,Logica,Information Technology,1999,2001,"GICS-style classification, reconstructed 2026-08-26"
LONR,Lonrho,Industrials,1984,1991,"GICS-style classification, reconstructed 2026-08-26"
LSEG,LONDON STOCK EXCHANGE GROUP PLC,Financials,2007,2024,"GICS-style classification, reconstructed 2026-08-26"
LSO,London and Scottish Marine Oil,Energy,1988,1997,"GICS-style classification, reconstructed 2026-08-26"
LUCS,Lucus Industries,Consumer Discretionary,1986,1991,"GICS-style classification, reconstructed 2026-08-26"
LVA,LucasVarity,Consumer Discretionary,1996,1998,"GICS-style classification, reconstructed 2026-08-26"
MAG,Magnet & Southerns,Consumer Discretionary,1983,1983,"GICS-style classification, reconstructed 2026-08-26"
