id,company_name,company_number,start_date,end_date,entry_type,exit_type,exit_name,source_url
578,Schroders,03909886,2007-03-30,,added,current,,https://find-and-update.company-information.service.gov.uk/company/03909886
335,Punch Taverns,03752645,2007-04-17,2007-12-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03752645
339,Mitchells & Butlers,04551498,2007-04-20,2007-12-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/04551498
579,British Energy Group,SC270184,2007-06-26,,added,exit_unresolved,,https://find-and-update.company-information.service.gov.uk/company/SC270184
345,Rentokil Initial,05393279,2007-08-22,2008-03-26,added,removed,,https://find-and-update.company-information.service.gov.uk/company/05393279
343,Taylor Wimpey,00296805,2007-09-24,2008-03-26,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00296805
415,Tullow Oil,03919249,2007-09-24,2015-03-20,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03919249
581,Admiral Group,03849958,2007-12-24,,added,current,,https://find-and-update.company-information.service.gov.uk/company/03849958
419,G4S,04992207,2007-12-24,2015-12-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/04992207
342,Kelda Group,02366627,2007-12-24,2008-02-07,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02366627
383,TUI Travel,06072876,2007-12-24,2011-06-20,added,removed,,https://find-and-update.company-information.service.gov.uk/company/06072876
374,Thomas Cook Group,06091951,2007-12-24,2010-06-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/06091951
380,Alliance Trust,SC001731,2008-02-07,2011-03-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC001731
360,Wood Group (John),SC278251,2008-04-28,2008-12-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC278251
379,Bunzl,00358948,2008-04-30,2011-03-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00358948
367,Drax Group,05562053,2008-06-23,2009-06-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/05562053
354,Ferrexpo,05432915,2008-06-23,2008-09-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/05432915
382,Invensys,00166023,2008-06-23,2011-05-25,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00166023
356,Fresnillo,06344120,2008-09-22,2008-12-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/06344120
359,Stagecoach Group,SC100764,2008-09-22,2008-12-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC100764
376,Home Retail Group,05863533,2008-12-22,2010-09-20,added,removed,,https://find-and-update.company-information.service.gov.uk/company/05863533
403,Serco Group,02048608,2008-12-22,2013-09-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02048608
458,Fresnillo,06344120,2009-03-23,2019-12-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/06344120
583,Intertek Group,04267576,2009-03-23,,added,current,,https://find-and-update.company-information.service.gov.uk/company/04267576
385,3i Group,01142830,2009-06-22,2011-09-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/01142830
512,Burberry Group,03458224,2009-09-10,2024-09-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03458224
372,Rentokil Initial,05393279,2009-09-21,2009-12-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/05393279
584,Whitbread,04120344,2009-09-21,,added,current,,https://find-and-update.company-information.service.gov.uk/company/04120344
417,Aggreko,SC177553,2009-12-21,2015-06-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC177553
388,Investec,03633621,2010-03-22,2011-12-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03633621
391,Essar energy,07108619,2010-06-21,2012-03-19,added,removed,Essar Energy,https://find-and-update.company-information.service.gov.uk/company/07108619
418,Weir Group,SC002934,2010-09-20,2015-09-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC002934
413,IMI,00714275,2010-12-20,2014-12-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00714275
504,Hargreaves Lansdown,02122142,2011-03-21,2023-12-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02122142
469,ITV,04967001,2011-03-21,2020-09-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/04967001
384,Wood Group (John),SC278251,2011-03-21,2011-09-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC278251
395,Ashmore Group,03675683,2011-09-19,2012-09-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03675683
588,Bunzl,00358948,2011-09-19,,added,current,,https://find-and-update.company-information.service.gov.uk/company/00358948
421,Meggitt,00432989,2011-10-07,2015-12-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00432989
399,Evraz,07784342,2011-12-19,2013-06-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/07784342
404,Croda International,00206132,2012-03-19,2013-12-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00206132
441,Babcock International Group,02342138,2012-06-18,2017-12-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02342138
396,Pennon Group,02366640,2012-06-29,2012-12-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02366640
408,Melrose,04763064,2012-09-24,2014-06-23,added,removed,Melrose Industries,https://find-and-update.company-information.service.gov.uk/company/04763064
401,Wood Group (John),SC278251,2012-09-24,2013-09-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC278251
412,TUI Travel,06072876,2012-12-24,2014-12-17,added,removed,,https://find-and-update.company-information.service.gov.uk/company/06072876
454,Easyjet,03959649,2013-03-18,2019-06-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03959649
580,London Stock Exchange,02075721,2013-03-18,,added,current,,https://find-and-update.company-information.service.gov.uk/company/02075721
502,Persimmon,05525338,2013-06-24,2023-09-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/05525338
431,Travis Perkins,00824821,2013-06-24,2016-12-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00824821
590,Mondi,06209386,2013-09-23,,added,exit_unresolved,,https://find-and-update.company-information.service.gov.uk/company/06209386
521,Ashtead Group,01807982,2013-12-23,2026-03-02,added,removed,,https://find-and-update.company-information.service.gov.uk/company/01807982
510,St. James's Place,03183415,2014-03-24,2024-06-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03183415
591,3i Group,01142830,2014-06-23,,added,current,,https://find-and-update.company-information.service.gov.uk/company/01142830
436,Intu Properties,03685527,2014-06-23,2017-06-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03685527
457,Direct Line Insurance Group,02280426,2014-09-22,2019-09-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02280426
517,Taylor Wimpey,00296805,2014-12-22,2025-09-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00296805
440,Merlin Entertainments,08700412,2015-04-13,2017-12-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/08700412
593,DCC,04709270,2015-12-21,,added,current,,https://find-and-update.company-information.service.gov.uk/company/04709270
428,Rexam,00191285,2016-02-15,2016-06-27,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00191285
594,Informa,08860726,2016-03-21,,added,current,,https://find-and-update.company-information.service.gov.uk/company/08860726
444,Mediclinic International plc,08338604,2016-03-21,2018-06-18,added,removed,Mediclinic International,https://find-and-update.company-information.service.gov.uk/company/08338604
471,Morrison (Wm) Supermarkets,00358949,2016-03-21,2021-03-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00358949
595,Smiths Group,00137013,2016-06-27,,added,current,,https://find-and-update.company-information.service.gov.uk/company/00137013
456,Micro Focus International,05134647,2016-09-05,2019-09-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/05134647
439,ConvaTec Group,10361298,2016-12-19,2017-12-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/10361298
597,Rentokil Initial,05393279,2017-03-20,,added,current,,https://find-and-update.company-information.service.gov.uk/company/05393279
596,Scottish Mortgage Investment,SC007058,2017-03-20,,added,current,,https://find-and-update.company-information.service.gov.uk/company/SC007058
445,G4S,04992207,2017-06-19,2018-06-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/04992207
463,NMC Health,07712220,2017-09-18,2020-03-23,added,removed,NMC Health*,https://find-and-update.company-information.service.gov.uk/company/07712220
601,Halma,00040932,2017-12-18,,added,current,,https://find-and-update.company-information.service.gov.uk/company/00040932
447,Just Eat,06947854,2017-12-18,2018-12-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/06947854
600,Smith (DS),01377658,2017-12-18,,added,exit_unresolved,,https://find-and-update.company-information.service.gov.uk/company/01377658
481,Evraz,07784342,2018-01-15,2022-03-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/07784342
497,Melrose Industries,09800044,2018-04-24,2023-04-20,added,removed,Melrose Industries,https://find-and-update.company-information.service.gov.uk/company/09800044
508,Ocado Group,07098618,2018-06-18,2024-06-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/07098618
602,Rightmove,06426485,2018-06-28,,added,exit_unresolved,,https://find-and-update.company-information.service.gov.uk/company/06426485
459,Hiscox,02837811,2018-12-24,2019-12-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02837811
604,Auto Trader Group,09439967,2018-12-31,,added,current,,https://find-and-update.company-information.service.gov.uk/company/09439967
605,Phoenix Group Holdings,10691596,2019-03-18,,added,exit_unresolved,,https://find-and-update.company-information.service.gov.uk/company/10691596
496,Aveva Group,02937296,2019-06-24,2023-01-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02937296
606,JD Sports Fashion,01888425,2019-06-24,,added,current,,https://find-and-update.company-information.service.gov.uk/company/01888425
466,Meggitt,00432989,2019-09-23,2020-06-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00432989
465,Easyjet,03959649,2019-12-23,2020-06-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03959649
460,Just Eat,06947854,2019-12-23,2020-02-05,added,removed,,https://find-and-update.company-information.service.gov.uk/company/06947854
475,Just Eat Takeaway.com,06947854,2020-02-05,2021-09-20,added,removed,Just Eat Takeaway.com*,https://find-and-update.company-information.service.gov.uk/company/06947854
608,Fresnillo,06344120,2020-03-23,,added,current,,https://find-and-update.company-information.service.gov.uk/company/06344120
472,Pennon Group,02366640,2020-03-23,2021-03-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02366640
487,Avast,07118170,2020-06-22,2022-09-12,added,removed,,https://find-and-update.company-information.service.gov.uk/company/07118170
470,Homeserve,02648297,2020-06-22,2020-12-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02648297
610,Kingfisher,01664812,2020-06-22,,added,current,,https://find-and-update.company-information.service.gov.uk/company/01664812
474,Reinshaw,06716899,2021-03-22,2021-06-21,added,removed,,https://find-and-update.company-information.service.gov.uk/company/06716899
476,Weir Group,SC002934,2021-03-22,2021-09-20,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC002934
484,ITV,04967001,2021-06-21,2022-06-20,added,removed,,https://find-and-update.company-information.service.gov.uk/company/04967001
488,Meggitt,00432989,2021-09-20,2022-09-13,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00432989
477,Morrison (Wm) Supermarkets,00358949,2021-09-20,2021-10-27,added,removed,Morrison,https://find-and-update.company-information.service.gov.uk/company/00358949
478,Darktrace,13264637,2021-10-27,2021-12-20,added,removed,,https://find-and-update.company-information.service.gov.uk/company/13264637
492,Dechra Pharmaceuticals,03369634,2021-12-20,2022-12-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03369634
509,Electrocomponents,00647788,2021-12-20,2024-06-24,added,removed,RS Group,https://find-and-update.company-information.service.gov.uk/company/00647788
612,Airtel Africa,11462215,2022-01-31,,added,current,,https://find-and-update.company-information.service.gov.uk/company/11462215
506,Endeavour Mining,13280545,2022-03-21,2024-03-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/13280545
