index,id,cik,company_name,entry_date,entry_year,founded_year,age_at_entry,episodes,re_entry,spac_shell,sic,sector,sector_basis,sub_industry,provisional_class,adjudicated_class,adjudication_source_url,final_class,coarse_class
S&P500,K,0000055067,KELLANOVA,1996-01-02,1996,1906.0,90.0,1,False,False,2040.0,Consumer Staples,sic2,,founding_member,,,founding_member,founding_member
S&P500,KMB,0000055785,Kimberly-Clark,1996-01-02,1996,1872.0,124.0,1,False,False,2670.0,Consumer Staples,index_list_gics,Household Products,founding_member,,,founding_member,founding_member
S&P500,KM,0000056824,KMART CORP,1996-01-02,1996,1899.0,97.0,1,False,False,5331.0,Consumer Staples,sic4,,founding_member,,,founding_member,founding_member
S&P500,KR,0000056873,Kroger,1996-01-02,1996,1883.0,113.0,1,False,False,5411.0,Consumer Staples,index_list_gics,Food Retail,founding_member,,,founding_member,founding_member
S&P500,LEG,0000058492,LEGGETT & PLATT INC,1999-10-18,1999,1883.0,116.0,1,False,False,2510.0,Consumer Discretionary,sic2,,established,,,established,established
S&P500,LLY,0000059478,Lilly (Eli),1996-01-02,1996,1876.0,120.0,1,False,False,2834.0,Health Care,index_list_gics,Pharmaceuticals,founding_member,,,founding_member,founding_member
S&P500,LNC,0000059558,LINCOLN NATIONAL CORP,1996-01-02,1996,1905.0,91.0,1,False,False,6311.0,Financials,sic2,,founding_member,,,founding_member,founding_member
S&P500,L,0000060086,Loews Corporation,1996-01-02,1996,1959.0,37.0,1,False,False,6331.0,Financials,index_list_gics,Multi-line Insurance,founding_member,,,founding_member,founding_member
S&P500,LPX,0000060519,LOUISIANA-PACIFIC CORP,1996-01-02,1996,1972.0,24.0,1,False,False,2400.0,Industrials,sic2,,founding_member,,,founding_member,founding_member
S&P500,LOW,0000060667,Lowe's,1996-01-02,1996,1921.0,75.0,1,False,False,5211.0,Consumer Discretionary,index_list_gics,Home Improvement Retail,founding_member,,,founding_member,founding_member
S&P500,MTW,0000061986,MANITOWOC CO INC,2007-11-16,2007,1902.0,105.0,1,False,False,3531.0,Industrials,sic2,,established,,,established,established
S&P500,MMC,0000062709,Marsh McLennan,1996-01-02,1996,1905.0,91.0,2,True,False,6411.0,Financials,index_list_gics,Insurance Brokers,founding_member,,,founding_member,founding_member
